entreprises,nb_etoiles,commentaires,dates_comment,Sentiment,pas,aucune,remboursement,bien,rapide,qualité,jours,recommande,parfait,bémol,réveil,déchiré,médiocre,toujours,déçus,top,disant,récupéré,meuble,assemblage,conforme,similaire,jamais,confortable,écrase,faut,maintient,compenser,catastrophique,arrivait,chers,cher,non,auparavant,tiroirs,promettez,véritable,déçue,réglables,table,aime,couturesconvenaient,convenaient,semaines,merci,fond,larronde,tiendra,local,insatisfait,réalistes,ressentons,louange,attends,express,dommage,sommaire,ressors,tissus,invérifiables,dérouler,différents,lenteur,débitée,commande,peine,pendant,très,mois,car,peu,nouvelle,mauvaise,donc,bois,rembourser,attentes,service client,livraison rapide,très bien,très bon,bonne qualité,qualité prix,rapport qualité,très bonne,très satisfaite,produit conforme,conforme description,délai livraison,bon rapport,très satisfait,très confortable,conforme attentes,très rapide,rapport qualité prix,bon rapport qualité,très bonne qualité,livraison très rapide,très bon matelas,service après vente,matelas très confortable,très bon produit,très bon rapport,ivraison rapide produit,plus mal dos,produit conforme attente,livraison rapide matelas,matelas conforme description,matelas très bonne,excellent rapport qualité,jours plus tard,service client très,bon rapport qualité prix,très bon rapport qualité,matelas très bonne qualité,excellent rapport qualité prix,rapport qualité prix livraison,livraison rapide produit conforme,tout très bien passé,impossible joindre service client,qualité prix livraison rapide,livraison très rapide matelas,rapport qualité prix recommande,produit très bien emballé,délai livraison peu long
mello-matelas.fr,5,Comme je suis en attente de ma livraison et inquiet j'ai contacté le service client de Mello qui est remarquablement réactif vis à vis de ses clients j'ai obtenu les renseignements dont j'avais besoin merci à Mello pour son sérieux. Yvon,21 avril 2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mello-matelas.fr,2,"J'ai été très déçu du délai de livraison on vous fait miroiter quelques jours ouvrés après la confirmation de la commande, en réalité il n'y a pas de stock et vous êtes livrés au bout de 2mois . En plus si vous n'allez pas chercher l'information on ne vous la donne pas !de plus bain commandé 2 surmatelas de 7cm d'épaisseur en réalité que 6cm! Acheter français......",26 mars 2023,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mello-matelas.fr,2,"Incohérence de prix et de qualité du matelas.  En effet, il n'y a rien de ""spécial"" dans le matelas - la mousse habituelle qui se plie jusqu'au fond lorsque vous vous asseyez dessus.  Très doux, les muscles du dos ne se reposent absolument pas pendant la nuit.",20 mars 2023,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mello-matelas.fr,5,"Achat d'un Surlatelat ferme. Livraison sous 5 jours, j'ai changé d'avis au bout de 2 semaines sur la taille. Mello a accepté l'échange d'un 80cm contre un 160. Le retour a été facile. Les démarches bien expliquées. Je suis vraiment ravie sur ce point.Concernant le surmatelas ferme... Un bonheur. J'ai un matelas Emma mémoire de forme. Trop moue a mon goût. C'était le choix de mon mari. J'avais mal au dos depuis des années. L'arrivée du surmatelas a été salvateur. Je me sens soutenue au niveau des lombaires. C'est ferme, mais pas dur. C'est parfait. Même mon mari l'a adopté.Merci beaucoup.",26 mars 2023,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mello-matelas.fr,5,"Livraison rapide, produit de qualité qui correspond à la description détaillée du site, confortable, bon rapport/qualité prix!",18 mars 2023,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mello-matelas.fr,4,"Je pensais que la mousse du surmatelas était plus épaisse. Il est annoncé pour 8 cm d'épaisseur. La mousse fait 5 cm, avec le dessus, un petit 7 cm. Un peu déçu. Confortable sans plus. J'ai connu beaucoup mieux.",26 mars 2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mello-matelas.fr,4,"Heureusement que j'ai opté pour le surmatelas Mello, un indispensable suite à l'achat d'un matelas neuf trop dur. Grâce au surmatelas, je peux dormir sans douleur",28 mars 2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mello-matelas.fr,4,Satisfait mais pas ouf non plus.Acceuil plus agréable mais de la à dire que l'on est comme dans un cocon comme j'ai pu le lire dans les avis est un peu pousser.Cependant j'attend de voir cette été car je pense que le sur matelas tien chaud. Conclusion. Je recommande car sa redonne du moelleux au matelas et j'ai moin de courbature au réveille. .,11 mars 2023,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mello-matelas.fr,5,Surmatelas acheté pour mettre sur un matelas trop ferme. Il est très bien et très moelleux et rend le couchage plus confortable,27 mars 2023,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mello-matelas.fr,5,"Après avoir acheté un matelas beaucoup trop ferme, j'ai décidé d'y ajouter le sur-matelas l'original pour trouver un certain confort. Après 3 nuits d'utilisation, je suis stupéfaite du résultat qu'il m'apporte, mes douleurs de rhumatismes sont nettement soulagés, les points de pression ont disparu (épaule, hanche), il est moelleux, la qualité est exceptionnelle, livraison rapide, je recommande ce produit, très satisfait",29 mars 2023,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
